status,ipAddress,host,request,userAgent,countryCode,sizeBytes,durationSecs,timestamp
200,202.136.82.199,smknurulhidayah.my.id,"GET /storage/settings/2LsOpj5WNEc7p9mko4jZPs0vXN25nyBejX14XcDw.jpg HTTP/1.1","Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US) AppleWebKit/537.36 (KHTML, like Gecko)  VivoBrowser/16.3.1.0 Chrome/131.0.6778.200 Safari/537.36",ID,385948,27.129,2026-08-24T00:08:34.000000Z
200,202.136.82.199,smknurulhidayah.my.id,"GET /storage/settings/jPDsKD3RTPYAFERt0oVTFuWgQSUVwUUbvxyM6AIF.jpg HTTP/1.1","Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US) AppleWebKit/537.36 (KHTML, like Gecko)  VivoBrowser/16.3.1.0 Chrome/131.0.6778.200 Safari/537.36",ID,36557,24.926,2026-08-24T00:08:34.000000Z
200,202.136.82.199,smknurulhidayah.my.id,"GET / HTTP/1.1","Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US) AppleWebKit/537.36 (KHTML, like Gecko)  VivoBrowser/16.3.1.0 Chrome/131.0.6778.200 Safari/537.36",ID,8267,106.328,2026-08-24T00:08:34.000000Z
200,202.136.82.199,smknurulhidayah.my.id,"POST /api/device/attendance HTTP/1.1",ESP32HTTPClient,ID,237,54.8,2026-08-24T00:07:17.000000Z
200,202.136.82.199,smknurulhidayah.my.id,"POST /api/device/cek HTTP/1.1",ESP32HTTPClient,ID,171,50.686,2026-08-24T00:07:13.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"POST /api/device/cek HTTP/1.1",ESP32HTTPClient,ID,171,71.304,2026-08-24T00:06:19.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"POST /api/device/attendance HTTP/1.1",ESP32HTTPClient,ID,224,68.941,2026-08-24T00:06:01.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"POST /api/device/cek HTTP/1.1",ESP32HTTPClient,ID,171,59.973,2026-08-24T00:05:48.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"POST /api/device/cek HTTP/1.1",ESP32HTTPClient,ID,171,51.838,2026-08-24T00:05:18.000000Z
200,202.136.82.199,smknurulhidayah.my.id,"POST /api/device/cek HTTP/1.1",ESP32HTTPClient,ID,171,45.272,2026-08-24T00:05:01.000000Z
200,202.136.82.199,smknurulhidayah.my.id,"POST /api/device/cek HTTP/1.1",ESP32HTTPClient,ID,171,44.573,2026-08-24T00:04:52.000000Z
200,202.136.82.199,smknurulhidayah.my.id,"POST /api/device/attendance HTTP/1.1",ESP32HTTPClient,ID,242,44.237,2026-08-24T00:04:50.000000Z
200,202.136.82.199,smknurulhidayah.my.id,"POST /api/device/cek HTTP/1.1",ESP32HTTPClient,ID,171,56.174,2026-08-24T00:04:49.000000Z
200,202.136.82.199,smknurulhidayah.my.id,"POST /api/device/attendance HTTP/1.1",ESP32HTTPClient,ID,219,38.571,2026-08-24T00:04:12.000000Z
